"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~relationship_property_name","~end_node_id","~end_node_labels","~end_node_property_name"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:0","Methodology","We analyzed","research_question","analyzed_dataset","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:4","dataset","dataset"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:0","Methodology","We analyzed","research_question","analyzed_dataset","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:45","organization","UC San Diego"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:1","Investment_Strategy","value and momentum","combined_with","combined_with","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:10","Asset_Class","bond selection"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:2","Methodology","weights","Machine_Learning_Techniques","equals","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:3","UNTYPED","1"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:5","Methodology","We trained","methodology","trained_on","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:8","relation","machine learning techniques"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:6","Subject","Stock Portfolio Optimization with Machine Learning","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:7","Type","Project"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:9","Model","Our project","methodology","uses","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:11","function","stock portfolio optimization"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:12","Subject","Yalu, Ouyang","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:13","Type","Group Member"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:14","Company","Nvidia","leads_to","leads_to","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:34","Company","Meta"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:14","Company","Nvidia","results_in","results_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:34","Company","Meta"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:15","Subject","yaouyang@ucsd.edu","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:17","Type","Email Address"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:19","Subject","darell@ucsd.edu","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:17","Type","Email Address"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:20","Company","Some companies","contributes_to","contributes_to","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:36","Company","Alphabet"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:21","Subject","dirk@ucsd.edu","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:17","Type","Email Address"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:22","Company","Advanced Micro Devices","produces","produces","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:36","Company","Alphabet"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:22","Company","Advanced Micro Devices","triggered_by","stock_movement","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:88","Event_Type","Nvidia's slide"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:22","Company","Advanced Micro Devices","market_movement","market_movement","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:89","Market_Movement","sank over 9%"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:23","Subject","six004@ucsd.edu","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:17","Type","Email Address"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:25","Company","Meta Platforms (META)","event","leads_to","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:16","Company","Google (GOOGL)"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","Model","GPT","trained_on","outperforms","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","Model","ANN"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","Model","GPT","trained_on","trained_on","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:81","Dataset","59 financial variables"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:27","Subject","Kyle, Wade","has_type","is_a","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:13","Type","Group Member"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:28","Company","NVIDIA Corporation","leads_to","causes","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:29","FinancialMetric","Stock drop"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:28","Company","NVIDIA Corporation","causes","causes","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:24","ParentCompany","Alphabet"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:30","Company","Meta Platforms","results_in","leads_to","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:31","Event","Report"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:32","Company","Google","results_in","causes","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:33","Technology","Tensor Processing Units (TPUs)"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:34","Company","Meta","leads_to","leads_to","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:14","Company","Nvidia"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:34","Company","Meta","results_in","causes","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:35","Event","Chip usage"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:36","Company","Alphabet","due_to","due_to","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:18","FinancialMetric","Gemini AI model"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:36","Company","Alphabet","due_to","results_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:37","FinancialMetric","Stock increase"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:36","Company","Alphabet","contributes_to","results_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:38","Event","Multi-cloud shift"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:39","Model","NVIDIA","Apple_Inc_","stock_symbol","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:40","stock_symbol","NVIDIA shares"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:41","Model","MVO","outperforms","outperforms","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:42","Portfolio","S&P 500"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","Model","ANN","trained_on","outperforms","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:47","Model","Logistic"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:46","Model","ANN","utilizes_method","utilizes_method","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:78","Methodology","ANN"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:47","Model","Logistic","trained_on","outperforms","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:26","Model","GPT"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:48","Investment_Strategy","value","underperformed_in","underperformed_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:93","Asset_Class","Figure 4"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:48","Investment_Strategy","value","Time_Period","outperformed_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:49","Market","Japan"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:52","Investment_Strategy","50/50 combo portfolio","combined_with","combined_with","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:53","Investment_Strategy","two managers"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:52","Investment_Strategy","50/50 combo portfolio","combined_with","combined_with","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:92","Investment_Strategy","500 stocks long and 500 stocks short balancing each other"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:54","Company","NVIDIA","is","is","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:55","Company","Company"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:56","Investment_Strategy","Momentum investing","positive","has","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:57","UNTYPED","positive Sharpe ratios"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:58","Investment_Strategy","Investment_Strategy","underperformed_in","underperformed_in","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:59","Investment_Strategy","indexing"
"4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:58","Investment_Strategy","Investment_Strategy","Investment_Strategy","applied_to","4:c19f53a1-0496-4ccb-a090-7f84c4c6c15f:59","Investment_Strategy","indexing"
